je_id,posting_date,gl_account,description,counterparty,reference,debit,credit,source,prepared_by
JE-202603-0178,2026-03-27,1010,Vendor payment - DataPulse Analytics - AP-2026-0347,DataPulse Analytics,AP-2026-0347,,18395.82,ap,EMP-0486
JE-202603-0179,2026-03-27,1010,Vendor payment - TalentForce HR Platform - AP-2026-0349,TalentForce HR Platform,AP-2026-0349,,18596.70,ap,EMP-0486
JE-202603-0180,2026-03-27,1010,Vendor payment - Fenwhistle Travel Desk - AP-2026-0362,Fenwhistle Travel Desk,AP-2026-0362,,3716.58,ap,EMP-0486
JE-202603-0181,2026-03-27,1010,Vendor payment - TalentForce HR Platform - AP-2026-0384,TalentForce HR Platform,AP-2026-0384,,52548.31,ap,EMP-0486
JE-202603-0182,2026-03-27,1010,Payroll funding transfer - 2026-03-27,Atticus Dundee Inc.,PAYROLL-20260327,,1646480.53,payroll,EMP-0486
JE-202603-0183,2026-03-27,1010,Corporate card settlement - 2026-03-27,Anchor Point Bank,CARD-20260327,,24659.45,ap,EMP-0486
JE-202603-0184,2026-03-30,1010,Customer receipt - Wrenhaven Group - INV-2026-0409,Wrenhaven Group,INV-2026-0409,14568.96,,ar,EMP-0486
JE-202603-0185,2026-03-30,1010,Customer receipt - Gladewick LLC - INV-2026-0418,Gladewick LLC,INV-2026-0418,37428.85,,ar,EMP-0486
JE-202603-0186,2026-03-30,1010,Customer receipt - Kettlebrook Partners - INV-2026-0426,Kettlebrook Partners,INV-2026-0426,18382.45,,ar,EMP-0486
JE-202603-0187,2026-03-30,1010,Customer receipt - Wrenhaven Group - INV-2026-0429,Wrenhaven Group,INV-2026-0429,22543.40,,ar,EMP-0486
JE-202603-0188,2026-03-30,1010,Customer receipt - Cinderbrook LLC - INV-2026-0435,Cinderbrook LLC,INV-2026-0435,12036.95,,ar,EMP-0486
JE-202603-0189,2026-03-30,1010,Customer receipt - Windrow Holdings - INV-2026-0457,Windrow Holdings,INV-2026-0457,22759.29,,ar,EMP-0486
JE-202603-0190,2026-03-30,1010,Customer receipt - Sagebrook LLC - INV-2026-0465,Sagebrook LLC,INV-2026-0465,16355.58,,ar,EMP-0486
JE-202603-0191,2026-03-30,1010,Customer receipt - Amberfield Logistics - INV-2026-0467,Amberfield Logistics,INV-2026-0467,12890.25,,ar,EMP-0486
JE-202603-0192,2026-03-30,1010,Customer receipt - Gladewick LLC - INV-2026-0470,Gladewick LLC,INV-2026-0470,27622.23,,ar,EMP-0486
JE-202603-0193,2026-03-30,1010,Vendor payment - Thackenridge Courier - AP-2026-0331,Thackenridge Courier,AP-2026-0331,,8773.43,ap,EMP-0486
JE-202603-0194,2026-03-30,1010,Vendor payment - Cedarline Office Supply - AP-2026-0359,Cedarline Office Supply,AP-2026-0359,,33788.29,ap,EMP-0486
JE-202603-0195,2026-03-30,1010,Check 10456 - Sarrowmere Print Works,Sarrowmere Print Works,10456,,1437.74,ap,EMP-0486
JE-202603-0196,2026-03-30,1010,Check 10457 - Sarrowmere Print Works,Sarrowmere Print Works,10457,,7627.47,ap,EMP-0486
JE-202603-0197,2026-03-30,1010,Check 10458 - Thackenridge Courier,Thackenridge Courier,10458,,6850.30,ap,EMP-0486
JE-202603-0198,2026-03-30,1010,Check 10459 - Kestrelmoor Staffing Partners,Kestrelmoor Staffing Partners,10459,,7744.38,ap,EMP-0486
JE-202603-0199,2026-03-31,1010,Customer receipt - Copperfen Partners - INV-2026-0410,Copperfen Partners,INV-2026-0410,18673.43,,ar,EMP-0486
JE-202603-0200,2026-03-31,1010,Customer receipt - Kettlebrook Partners - INV-2026-0462,Kettlebrook Partners,INV-2026-0462,5470.51,,ar,EMP-0486
JE-202603-0201,2026-03-31,1010,Customer receipt - Holloway Vale Partners - INV-2026-0478,Holloway Vale Partners,INV-2026-0478,224422.37,,ar,EMP-0486
JE-202603-0202,2026-03-31,1010,Card settlement - small-team tier - 2026-03-31,Anchor Point Bank,SETTLE-20260331,7709.11,,ar,EMP-0486
JE-202603-0203,2026-03-31,1010,Interest income - March 2026,Anchor Point Bank,INT-2026-03,1316.63,,manual,EMP-0486
JE-202603-0204,2026-03-31,1010,Vendor payment - Braxmoor Recruiting Group - AP-2026-0335,Braxmoor Recruiting Group,AP-2026-0335,,34913.72,ap,EMP-0486
JE-202603-0205,2026-03-31,1010,Bank service charge - March 2026,Anchor Point Bank,MAINT-2026-03,,245.00,bank_fee,EMP-0486
JE-202603-0206,2026-03-31,1010,Check 10460 - Halvermoor Cloud Services,Halvermoor Cloud Services,10460,,6456.73,ap,EMP-0486
JE-202603-0207,2026-03-31,1010,Customer receipt - Foxglove Partners - INV-2026-0489,Foxglove Partners,INV-2026-0489,11241.57,,ar,EMP-0486
