txn_id,posted_date,value_date,description,counterparty,reference,type,amount,running_balance,channel
BNK-202603-0160,2026-03-26,2026-03-26,CHECK 10448,DataPulse Analytics,10448,debit,1312.48,4074265.77,check
BNK-202603-0161,2026-03-27,2026-03-30,ACH CREDIT AMBERLINE HOLDINGS INV-2026-0421,Amberline Holdings,INV-2026-0421,credit,33990.56,4108256.33,ach
BNK-202603-0162,2026-03-27,2026-03-30,ACH CREDIT HOLLOWAY VALE PARTNERS INV-2026-0428,Holloway Vale Partners,INV-2026-0428,credit,25071.59,4133327.92,ach
BNK-202603-0163,2026-03-27,2026-03-30,ACH CREDIT HOLLOWAY VALE PARTNERS INV-2026-0438,Holloway Vale Partners,INV-2026-0438,credit,43718.73,4177046.65,ach
BNK-202603-0164,2026-03-27,2026-03-30,ACH CREDIT ELMSTEAD HOLDINGS INV-2026-0469,Elmstead Holdings,INV-2026-0469,credit,41552.34,4218598.99,ach
BNK-202603-0165,2026-03-27,2026-03-27,WIRE IN KETTLEBROOK PARTNERS INV-2026-0472,Kettlebrook Partners,INV-2026-0472,credit,55666.34,4274265.33,wire
BNK-202603-0166,2026-03-27,2026-03-27,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260327,Anchor Point Bank,SETTLE-20260327,credit,3035.39,4277300.72,card
BNK-202603-0167,2026-03-27,2026-03-27,ACH DEBIT TALENTFORCE HR PLATFORM AP-2026-0349,TalentForce HR Platform,AP-2026-0349,debit,18596.70,4258704.02,ach
BNK-202603-0168,2026-03-27,2026-03-27,ACH DEBIT FENWHISTLE TRAVEL DESK AP-2026-0362,Fenwhistle Travel Desk,AP-2026-0362,debit,3716.58,4254987.44,ach
BNK-202603-0169,2026-03-27,2026-03-27,ACH DEBIT FALLOWMERE CATERING AP-2026-0376,Fallowmere Catering,AP-2026-0376,debit,30781.23,4224206.21,ach
BNK-202603-0170,2026-03-27,2026-03-27,WIRE OUT TALENTFORCE HR PLATFORM AP-2026-0384,TalentForce HR Platform,AP-2026-0384,debit,52548.31,4171657.90,wire
BNK-202603-0171,2026-03-27,2026-03-27,TRANSFER TO PAYROLL ACCT XXXX-4425,Atticus Dundee Inc.,PAYROLL-20260327,debit,1646480.53,2525177.37,transfer
BNK-202603-0172,2026-03-27,2026-03-27,CORPORATE CARD SETTLEMENT CARD-20260327,Anchor Point Bank,CARD-20260327,debit,24659.45,2500517.92,card
BNK-202603-0173,2026-03-27,2026-03-27,CHECK 10445,Millgate Insurance Services,10445,debit,6802.16,2493715.76,check
BNK-202603-0174,2026-03-27,2026-03-27,CHECK 10447,Thackenridge Courier,10447,debit,8751.36,2484964.40,check
BNK-202603-0175,2026-03-30,2026-03-31,ACH CREDIT WRENHAVEN GROUP INV-2026-0409,Wrenhaven Group,INV-2026-0409,credit,14568.96,2499533.36,ach
BNK-202603-0176,2026-03-30,2026-03-31,ACH CREDIT GLADEWICK LLC INV-2026-0418,Gladewick LLC,INV-2026-0418,credit,37428.85,2536962.21,ach
BNK-202603-0177,2026-03-30,2026-03-31,ACH CREDIT KETTLEBROOK PARTNERS INV-2026-0426,Kettlebrook Partners,INV-2026-0426,credit,18382.45,2555344.66,ach
BNK-202603-0178,2026-03-30,2026-03-31,ACH CREDIT WRENHAVEN GROUP INV-2026-0429,Wrenhaven Group,INV-2026-0429,credit,22543.40,2577888.06,ach
BNK-202603-0179,2026-03-30,2026-03-31,ACH CREDIT CINDERBROOK LLC INV-2026-0435,Cinderbrook LLC,INV-2026-0435,credit,12036.95,2589925.01,ach
BNK-202603-0180,2026-03-30,2026-03-31,ACH CREDIT WINDROW HOLDINGS INV-2026-0457,Windrow Holdings,INV-2026-0457,credit,22759.29,2612684.30,ach
BNK-202603-0181,2026-03-30,2026-03-31,ACH CREDIT SAGEBROOK LLC INV-2026-0465,Sagebrook LLC,INV-2026-0465,credit,16355.58,2629039.88,ach
BNK-202603-0182,2026-03-30,2026-03-31,ACH CREDIT AMBERFIELD LOGISTICS INV-2026-0467,Amberfield Logistics,INV-2026-0467,credit,12890.25,2641930.13,ach
BNK-202603-0183,2026-03-30,2026-03-31,ACH CREDIT GLADEWICK LLC INV-2026-0470,Gladewick LLC,INV-2026-0470,credit,27622.23,2669552.36,ach
BNK-202603-0184,2026-03-30,2026-03-30,ACH DEBIT THACKENRIDGE COURIER AP-2026-0331,Thackenridge Courier,AP-2026-0331,debit,8773.43,2660778.93,ach
BNK-202603-0185,2026-03-30,2026-03-30,ACH DEBIT CEDARLINE OFFICE SUPPLY AP-2026-0359,Cedarline Office Supply,AP-2026-0359,debit,33788.29,2626990.64,ach
BNK-202603-0186,2026-03-30,2026-03-30,CHECK 10453,Fallowmere Catering,10453,debit,2935.35,2624055.29,check
BNK-202603-0187,2026-03-31,2026-04-01,ACH CREDIT COPPERFEN PARTNERS INV-2026-0410,Copperfen Partners,INV-2026-0410,credit,18673.43,2642728.72,ach
BNK-202603-0188,2026-03-31,2026-04-01,ACH CREDIT KETTLEBROOK PARTNERS INV-2026-0462,Kettlebrook Partners,INV-2026-0462,credit,5470.51,2648199.23,ach
BNK-202603-0189,2026-03-31,2026-03-31,WIRE IN HOLLOWAY VALE PARTNERS INV-2026-0478,Holloway Vale Partners,INV-2026-0478,credit,224422.37,2872621.60,wire
BNK-202603-0190,2026-03-31,2026-03-31,CARD SETTLEMENT MERCHANT SERVICES SETTLE-20260331,Anchor Point Bank,SETTLE-20260331,credit,7709.11,2880330.71,card
BNK-202603-0191,2026-03-31,2026-03-31,INTEREST PAID,Anchor Point Bank,INT-2026-03,credit,1316.63,2881647.34,interest
BNK-202603-0192,2026-03-31,2026-03-31,ACH DEBIT BRAXMOOR RECRUITING GROUP AP-2026-0335,Braxmoor Recruiting Group,AP-2026-0335,debit,34913.72,2846733.62,ach
BNK-202603-0193,2026-03-31,2026-03-31,ACH DEBIT FALLOWMERE CATERING AP-2026-0340,Fallowmere Catering,AP-2026-0340,debit,20210.56,2826523.06,ach
BNK-202603-0194,2026-03-31,2026-03-31,ACH DEBIT DATAPULSE ANALYTICS AP-2026-0347,DataPulse Analytics,AP-2026-0347,debit,18395.82,2808127.24,ach
BNK-202603-0195,2026-03-31,2026-03-31,MONTHLY ACCOUNT MAINTENANCE FEE,Anchor Point Bank,MAINT-2026-03,debit,245.00,2807882.24,fee
BNK-202603-0196,2026-03-31,2026-03-31,CHECK 10452,Braxmoor Recruiting Group,10452,debit,1597.78,2806284.46,check
